,level_upper,Название технического места
349,11-ZIF-Z123-ORP1-UDRB-CONV,Оборудование транспортно-конвейерное
350,03-ZIF-ORPO-KSGF-PU05-KIPA,Оборудование КИПиА
351,05-SGE-CSPS-UPST-PW72,КТП-61 СК-5 Скв. №129
352,05-SGE-CTVS-UKTL-K446-CS01,"Здание БМК 4,46"
353,11-ENC-TEC1-BO05,Котёл паровой
354,11-ZIF-Z123-UOSO,"Участок обезвреж. SO2/воздух ЗИФ-1,2,3"
355,71-TRA-AVTR-AVT3-TR6M,Автоцистерна №С539МН
356,11-ZIF-Z123-ORP3-VE02,Вентилятор центробежный №В-12
357,05-SGE-CSPS-UPST-PW39-TRNS,Трансформаторы
358,11-ZIF-ZIF4-GMO4-UOSH-PU21-VALV,Запорно-регулирующая арматура
359,73-BOD-TRUC-TR3D,Автомобиль легковой №В146СА124
360,11-ZIF-Z123-GMO3-UFLT-KO14-KIPA,Оборудование КИПиА
361,11-ZIF-Z123-OBOK-OFZF-CN02,Конвейер ленточный №1-46-2
362,11-ZIF-Z123-ORP1-PW02,Комплектная трансформаторная подстанция
363,11-ZIF-Z123-ORP3-UIKR-ML04,Мельница шаровая №36-1
364,11-RUD-CGTR-SETT-UDST-OS01,Каток дорожный №01
365,71-PPE-SKLA-SMTE-SHLD,"Шкафы, щиты, панели"
366,71-TRA-AVTR-AVT1-LF20,Автокран №Р609ОС24
367,03-PAL-SELC,Силовая электроника
368,11-ZIF-ZIF4-GMO4-USOC-PU17-KIPA,Оборудование КИПиА
369,11-ZIF-Z123-GMO3-UFLT-FI06,Фильтр-вакуумный №223-3
