,Заказ,БазисСрокНачала,Плановая дата,ПользСтатус (заказа),СистСтатус,ОбщееВремяПростояТК,Краткий текст,СистСтатСообщТОРО,ЕО; teh_mesto; СПП-ЗаголЗаказа
96,1600129566,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1611,СОРА ЗКПР,"100000008668
03-CTT-KD03
LT-1200-2022-2-014-02"
97,1600129671,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №3  СЛ,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
nan"
98,1600129614,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1612,СОРА ЗКПР,"100000008669
03-CTT-KD04
LT-1200-2022-2-014-02"
99,1600129513,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал 785C №1620,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
100,1600129709,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1625,СОРА ЗКПР,"100000021364
03-CTT-KM05
LT-1200-2022-2-014-02"
101,1600129730,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1614,СОРА ЗКПР,"100000008671
03-CTT-KD06
LT-1200-2022-2-014-02"
102,1600129257,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
103,1600129439,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1623,СОРА ЗКПР,"100000006410
03-CTT-KM03
LT-1200-2022-2-014-02"
104,1600129532,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №6 СЛ,СОРА ЗКПР,"100000068232
03-KON-OBSL-OB07
nan"
105,1100381289,2022-01-28,1/30/2022,СГГС ГОД УТВГ МЕС УТВМ НЕД УТВН ГИП ПТОМ,ОТКР ПКАЛ ДМНП KKMP,"24,00",ТР Самосвал HD1500-8 №1629,СОРА ЗКПР,"100000022783
03-CTT-KM09
LT-1200-2022-2-014-02"
106,1600129506,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1623,СОРА ЗКПР,"100000006410
03-CTT-KM03
LT-1200-2022-2-014-02"
107,1600129244,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
108,1600129525,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №6 СЛ,СОРА ЗКПР,"100000068232
03-KON-OBSL-OB07
nan"
109,1600129540,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал 785C №1620,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
110,1100153093,2022-01-28,1/17/2022,СГГС ГОД МЕС НЕД УТВН ГИП,ОТКР ПКАЛ ДМНП KKMP,"0,00",ТО1 КомпьютерTrax10LP 1624,СОРА ЗКПР,"100000024392
03-CTT-KM04
LT-1200-2022-2-027-02"
111,1600129716,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1625,СОРА ЗКПР,"100000021364
03-CTT-KM05
LT-1200-2022-2-014-02"
112,1600129409,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1629,СОРА ЗКПР,"100000022783
03-CTT-KM09
LT-1200-2022-2-014-02"
113,1600129772,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
114,1600129738,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
115,1600129710,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1625,СОРА ЗКПР,"100000021364
03-CTT-KM05
LT-1200-2022-2-014-02"
116,1600129548,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал 785C №1619,СОРА ЗКПР,"100000008673
03-CTT-CC01
LT-1200-2022-2-014-02"
117,1600129555,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал 785C №1619,СОРА ЗКПР,"100000008673
03-CTT-CC01
LT-1200-2022-2-014-02"
118,1600129444,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1609,СОРА ЗКПР,"100000008666
03-CTT-KD01
LT-1200-2022-2-014-02"
119,1600129451,2022-01-29,1/29/2022,УТВН ЗАПЛ,ОТКР ПКАЛ ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1609,СОРА ЗКПР,"100000008666
03-CTT-KD01
LT-1200-2022-2-014-02"
120,1600129246,2022-01-29,1/29/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
