,Название ЕО,ЕО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,eo_main_class_description,level_1_description,Вышестоящее техместо,Комментарий,comment_category,calc
100,Самосвал карьерный БЕЛАЗ-7547 №2445,100000068231,Техническое обслуживание 4,APP1,1100368465,ТО-4 БелАЗ 7547 №5 СЛ,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-23,2022-02-08,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
102,Экскаватор гидравл. PC400-7 №1202,100000008676,Техническое обслуживание 4,APP1,1100361245,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-24,2022-02-13,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,Корректировка ремонтной программы,Корректировка ремонтной программы,1
103,Экскаватор гидравл. PC400-7 №1202,100000008676,Текущий ремонт,APP1,1100485593,ТР ходовой части,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-01-24,2022-05-18,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
106,Самосвал карьерный HD1500-8 №1630,100000071921,Текущий ремонт,APP1,1100381342,ТР Самосвал HD1500-8 №1630,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП KKMP,ГОД  УТВГ МЕС  ГИП  ССПЛ,2022-01-24,2022-02-01,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
107,Самосвал карьерный HD1500-8 №1630,100000071921,Техническое обслуживание 1,APP1,1100364221,Техническое обслуживание 1,НЕВЫ ПКАЛ ЗАКР МТКУ ДМНП,ГОД  УТВГ УТВП МЕС  ГИП  СРОЧ МТРЦ ТКБЕ ССПЛ,2022-01-24,2022-02-24,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
109,Экскаватор гидравл. PC220-8 №1214,100000008679,Техническое обслуживание 4,APP1,1100360966,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-01-24,2022-07-06,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
119,Самосвал карьерный HD1500-8 №1628,100000022744,Текущий ремонт,APP1,1100381174,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-25,2022-02-16,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
130,Экскаватор гидравл. PC400LC-7 №1210,100000006414,Техническое обслуживание 4,APP1,1100361043,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-01-26,2022-03-22,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
135,Самосвал карьерный HD1500-8 №1622,100000006409,Техническое обслуживание 4,APP1,1100360793,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-01-27,2022-03-26,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,нет комментария,нет комментария,1
141,Самосвал карьерный HD785-7 №1610,100000008667,Техническое обслуживание 4,APP1,1100359446,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-28,2022-02-23,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,Корректировка ремонтной программы,Корректировка ремонтной программы,1
142,Самосвал карьерный БЕЛАЗ-7547 №2442,100000068228,Техническое обслуживание 4,APP1,1100368882,(ТО) БелАЗ 7451 СЛ №2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-29,2022-02-20,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
143,Самосвал карьерный БЕЛАЗ-7547 №2442,100000068228,Текущий ремонт,APP1,1100368846,ТР БелАЗ 7547 №2 СЛ,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-29,2022-02-20,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
144,Экскаватор электрический WK-20 №1220,100000007087,Техническое обслуживание 6,APP1,1100354549,Техническое обслуживание 6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-31,2022-02-09,Экскаваторы электрич,Полюс Вернинское,Экскаваторы,Корректировка ремонтной программы,Корректировка ремонтной программы,1
145,Самосвал карьерный HD1500-8 №1627,100000022743,Техническое обслуживание 1,APP1,1100360118,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-31,2022-02-13,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
146,Самосвал карьерный HD1500-8 №1627,100000022743,Текущий ремонт,APP1,1100381270,ТР Самосвал HD1500-8 №1627,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-31,2022-02-14,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,Корректировка ремонтной программы,Корректировка ремонтной программы,1
147,Экскаватор гидравл. PC400-7 №1201,100000008675,Техническое обслуживание 4,APP1,1100360349,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  СРОЧ МТРЦ ТКБЕ СГГС,2022-01-31,2022-03-10,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
