код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
1-0016,ЧАС ТО720-ТР4320,Текущий ремонт,ТР,1-0016ТР,"4320,00",ЧАС,1-0016ТР
1-0017,ЧАС ТО720-ТР8640,Техническое обслуживание,ТО,1-0017ТО,"720,00",ЧАС,1-0017ТО
1-0017,ЧАС ТО720-ТР8640,Текущий ремонт,ТР,1-0017ТР,"8640,00",ЧАС,1-0017ТР
1-0018,ЧАС ТО2160-ТР8640,Техническое обслуживание,ТО,1-0018ТО,"2160,00",ЧАС,1-0018ТО
1-0018,ЧАС ТО2160-ТР8640,Текущий ремонт,ТР,1-0018ТР,"8640,00",ЧАС,1-0018ТР
1-0019,ЧАС ТО4320-ТР8640,Техническое обслуживание,ТО,1-0019ТО,"4320,00",ЧАС,1-0019ТО
1-0019,ЧАС ТО4320-ТР8640,Текущий ремонт,ТР,1-0019ТР,"8640,00",ЧАС,1-0019ТР
1-0020,ЧАС ТО4320-ТР25920,Техническое обслуживание,ТО,1-0020ТО,"4320,00",ЧАС,1-0020ТО
1-0020,ЧАС ТО4320-ТР25920,Текущий ремонт,ТР,1-0020ТР,"25920,00",ЧАС,1-0020ТР
1-0021,ЧАС ТО720,Техническое обслуживание,ТО,1-0021ТО,"720,00",ЧАС,1-0021ТО
1-0022,ЧАС ТО4320,Техническое обслуживание,ТО,1-0022ТО,"4320,00",ЧАС,1-0022ТО
1-0023,ЧАС 572160,ТО подшипникового узла,57,1-002357,"2160,00",ЧАС,1-002357
1-0024,ЧАС ТР8640-Т117280,Текущий ремонт,ТР,1-0024ТР,"8640,00",ЧАС,1-0024ТР
1-0024,ЧАС ТР8640-Т117280,Текущий ремонт 1,Т1,1-0024Т1,"17280,00",ЧАС,1-0024Т1
1-0025,ЧАС 572160-834320,ТО подшипникового узла,57,1-002557,"2160,00",ЧАС,1-002557
1-0025,ЧАС 572160-834320,ТР подшипникового узла,83,1-002583,"4320,00",ЧАС,1-002583
1-0026,ЧАС Т14320-Т28640,Текущий ремонт 1,Т1,1-0026Т1,"4320,00",ЧАС,1-0026Т1
1-0026,ЧАС Т14320-Т28640,Текущий ремонт 2,Т2,1-0026Т2,"8640,00",ЧАС,1-0026Т2
1-0027,ЧАС Т11200-Т23600-Т3-Т414400,Текущий ремонт 1,Т1,1-0027Т1,"1200,00",ЧАС,1-0027Т1
1-0027,ЧАС Т11200-Т23600-Т3-Т414400,Текущий ремонт 2,Т2,1-0027Т2,"3600,00",ЧАС,1-0027Т2
1-0027,ЧАС Т11200-Т23600-Т3-Т414400,Текущий ремонт 3,Т3,1-0027Т3,"7200,00",ЧАС,1-0027Т3
1-0027,ЧАС Т11200-Т23600-Т3-Т414400,Текущий ремонт 4,Т4,1-0027Т4,"14400,00",ЧАС,1-0027Т4
1-0028,ЧАС О1720-О22160,Техническое обслуживание 1,О1,1-0028О1,"720,00",ЧАС,1-0028О1
1-0028,ЧАС О1720-О22160,Техническое обслуживание 2,О2,1-0028О2,"2160,00",ЧАС,1-0028О2
1-0029,ЧАС 74720,ТР ковша,74,1-002974,"720,00",ЧАС,1-002974
