Год,Месяц,БЕ,Класс ЕО,Модель ЕО,count,month_year
2023,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,10_2023
2023,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,10_2023
2023,10,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,10_2023
2023,10,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,10_2023
2023,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,11_2023
2023,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,11_2023
2023,11,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,11_2023
2023,11,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,11_2023
2023,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,12_2023
2023,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,12_2023
2023,12,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,12_2023
2023,12,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,12_2023
2024,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,1_2024
2024,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,1_2024
2024,1,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,1_2024
2024,1,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,1_2024
2024,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,2_2024
2024,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,2_2024
2024,2,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,2_2024
2024,2,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,2_2024
2024,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,3_2024
2024,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,3_2024
2024,3,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,3_2024
2024,3,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,3_2024
2024,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,4_2024
2024,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,4_2024
2024,4,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,4_2024
2024,4,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,4_2024
2024,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,5_2024
2024,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,5_2024
2024,5,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,5_2024
2024,5,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,5_2024
2024,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,6_2024
2024,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,6_2024
2024,6,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,6_2024
2024,6,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,6_2024
2024,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,7_2024
2024,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,7_2024
2024,7,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,7_2024
2024,7,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,7_2024
2024,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,8_2024
2024,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,8_2024
2024,8,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,8_2024
2024,8,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,8_2024
2024,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,9_2024
2024,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,9_2024
2024,9,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,9_2024
2024,9,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,9_2024
2024,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,14,9_2024
2024,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,10_2024
2024,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,10_2024
2024,10,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,10_2024
2024,10,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,10_2024
2024,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,14,10_2024
2024,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,11_2024
2024,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,11_2024
2024,11,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,11_2024
2024,11,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,11_2024
2024,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,14,11_2024
2024,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,34,12_2024
2024,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,12_2024
