ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
sl_730_11,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №11 (для расчета),1
sl_730_12,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №12 (для расчета),1
sl_730_13,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №13 (для расчета),1
sl_730_14,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №14 (для расчета),1
sl_730_15,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №15 (для расчета),1
sl_730_16,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №16 (для расчета),1
sl_730_17,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №17 (для расчета),1
sl_730_18,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №18 (для расчета),1
sl_730_19,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №19 (для расчета),1
sl_730_20,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №20 (для расчета),1
sl_730_21,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №21 (для расчета),1
sl_730_22,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №22 (для расчета),1
sl_730_23,2025-01-01,2035-01-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №23 (для расчета),1
