eo,year,month,calendar_fond,downtime_status
100000084396,2021,2,672,"47,82"
100000084396,2021,3,744,"71,48"
100000084396,2021,4,720,"63,480000000000004"
100000084396,2021,5,744,"54,800000000000004"
100000084396,2021,6,720,"63,480000000000004"
100000084396,2021,7,744,"64,14"
100000084396,2021,8,744,"57,14"
100000084396,2021,9,720,"63,480000000000004"
100000084396,2021,10,744,"64,14"
100000084396,2021,11,720,"56,480000000000004"
100000084396,2021,12,744,"88,48"
100000084396,2022,1,744,"64,14"
100000084396,2022,2,672,"47,82"
100000084396,2022,3,744,"71,48"
100000084396,2022,4,720,"67,48"
100000084396,2022,5,744,"49,800000000000004"
100000084396,2022,6,720,"63,480000000000004"
100000084396,2022,7,744,"64,14"
100000084396,2022,8,744,"58,800000000000004"
100000084396,2022,9,720,"63,480000000000004"
100000084396,2022,10,744,"64,14"
100000084396,2022,11,720,"56,480000000000004"
100000084396,2022,12,744,"60,14"
100000084396,2023,1,744,"64,14"
100000084396,2023,2,672,"47,160000000000004"
100000084396,2023,3,744,"96,48"
100000084396,2023,4,720,"63,480000000000004"
100000084396,2023,5,744,"49,14"
100000084396,2023,6,720,"63,480000000000004"
100000084396,2023,7,744,"68,8"
100000084396,2023,8,744,"63,14"
100000084396,2023,9,720,"219,86"
100000084396,2023,10,744,"490,26"
100000084396,2023,11,720,"64,48"
100000084396,2023,12,744,"87,48"
100000084396,2024,1,744,"65,14"
100000084396,2024,2,696,"86,16"
100000084396,2024,3,744,"87,48"
100000084396,2024,4,720,"64,48"
100000084396,2024,5,744,"87,48"
100000084396,2024,6,720,"64,48"
100000084396,2024,7,744,"111,82000000000001"
100000084396,2024,8,744,"87,48"
100000084396,2024,9,720,"64,48"
100000084396,2024,10,744,"87,48"
100000084396,2024,11,720,"64,48"
100000084396,2024,12,744,"87,48"
100000084396,2025,1,744,"87,48"
100000084396,2025,2,672,"63,160000000000004"
100000084396,2025,3,744,"87,48"
100000084396,2025,4,720,"64,48"
100000084396,2025,5,744,"87,48"
100000084396,2025,6,720,"86,82000000000001"
100000084396,2025,7,744,"65,14"
100000084396,2025,8,744,"87,48"
100000084396,2025,9,720,"64,48"
100000084396,2025,10,744,"87,48"
100000084396,2025,11,720,"111,16"
100000084396,2025,12,744,"65,14"
100000084396,2026,1,744,"87,48"
100000084396,2026,2,672,"63,160000000000004"
100000084396,2026,3,744,"87,48"
100000084396,2026,4,720,"85,82000000000001"
100000084396,2026,5,744,"66,14"
100000084396,2026,6,720,"86,82000000000001"
100000084396,2026,7,744,"65,14"
100000084396,2026,8,744,"483,26"
100000084396,2026,9,720,"233,86"
100000084396,2026,10,744,"87,48"
100000084396,2026,11,720,"88,82000000000001"
100000084396,2026,12,744,"67,14"
100000084396,2027,1,744,"92,48"
100000084396,2027,2,672,"67,16"
100000084396,2027,3,744,"116,16"
100000084396,2027,4,720,"70,48"
100000084396,2027,5,744,"97,82000000000001"
100000084396,2027,6,720,"98,82000000000001"
100000084396,2027,7,744,"75,14"
100000084396,2027,8,744,"101,82000000000001"
100000084396,2027,9,720,"76,48"
100000084396,2027,10,744,"105,48"
100000084396,2027,11,720,"78,48"
100000084396,2027,12,744,"108,48"
100000084396,2028,1,744,"111,48"
100000084396,2028,2,696,"79,82000000000001"
100000084396,2028,3,744,"114,48"
100000084396,2028,4,720,"82,48"
100000084396,2028,5,744,"116,82000000000001"
100000084396,2028,6,720,"83,16"
100000084396,2028,7,744,"133,16"
100000084396,2028,8,744,"85,82000000000001"
100000084396,2028,9,720,"122,82000000000001"
100000084396,2028,10,744,"87,82000000000001"
100000084396,2028,11,720,"125,16"
