ЕО,eo_model_id,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000078365,21,2022-09-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3321,1
100000084417,12,2012-03-31,2018-03-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-5D №2,1
100000084418,12,2012-03-31,2018-03-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-5D №3,1
100000084416,12,2012-03-31,2018-03-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-5D №1,1
100000084426,11,2012-08-31,2018-08-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D275A-5D,Бульдозер гусеничный D275A-5D №6,1
100000084420,12,2012-08-31,2018-08-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-5D №6,1
100000084421,12,2012-08-31,2018-08-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-5D №7,1
100000084422,12,2012-08-31,2018-08-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-5D №8,1
100000084419,12,2012-08-31,2018-08-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-5D №4,1
100000065597,Списание,2010-12-16,2021-07-31,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 777F,Самосвал карьерный 777F №141,1
100000084423,12,2012-08-31,2018-08-31,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-5D №9,1
100000084427,14,2017-12-11,2030-01-01,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D65PX,Бульдозер гусеничный D65PX-16 №1,1
100000084428,15,2017-12-20,2030-01-01,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D6R,Бульдозер гусеничный D6R2 №1,1
100000084424,12,2021-01-16,2027-01-16,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-6 №15,1
100000084425,12,2021-01-16,2027-01-16,Полюс Магадан,Бульдозеры гусеничные,Бульдозер гусеничный D375A-5D,Бульдозер гусеничный D375A-6 №14,1
100000084509,18,2022-07-01,2030-01-01,Полюс Магадан,Бульдозеры колесные,Бульдозер колесный WD600-6,Бульдозер колесный WD600-6 №2,1
100000065953,33,2007-12-20,2023-12-31,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-3,Бульдозер WD600-3 №25,1
100000065965,17,2010-08-10,2023-12-31,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-703МА,Бульдозер К-703МА-12-04 №15,1
100000062742,17,2010-08-30,2023-12-31,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-703МА,Бульдозер К-703МА-12-04 №14,1
100000065912,16,2013-07-11,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №17,1
100000065954,33,2013-11-22,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-3,Бульдозер WD600-3 №31,1
100000065913,16,2011-10-30,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №16,1
100000065955,16,2015-11-25,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №802,1
100000065956,16,2015-11-25,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №805,1
100000065959,16,2015-11-25,2024-07-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №806,1
100000065960,16,2015-12-13,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №801,1
100000065966,75,2017-02-27,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Специальн машина К-703МА,Специальн машина К-703МА-12-04 №803,1
100000065961,16,2017-06-21,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №807,1
100000027474,16,2017-09-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №3817,1
100000065962,34,2017-09-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-6,Бульдозер WD600-6 №207,1
100000065963,34,2017-09-13,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-6,Бульдозер WD600-6 №208,1
100000065914,16,2017-09-26,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №804,1
100000065964,34,2018-05-21,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-6,Бульдозер WD600-6 №3215,1
100000026789,17,2019-07-25,2027-07-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-703МА,Бульдозер К-703МА-12-0П №3808,1
100000026797,17,2019-08-02,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-703МА,Бульдозер К-703МА-ДМ-15 №3809,1
100000037280,36,2020-03-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-8,Бульдозер WD600-6 №3221,1
100000037279,37,2020-03-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-9,Бульдозер WD600-6 №3222,1
100000021378,34,2020-04-01,2030-01-01,Полюс Вернинское,Бульдозеры колесные,Бульдозер WD600-6,Бульдозер WD600-6 №1406,1
100000055019,16,2021-01-28,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №3813,1
100000065973,Списание,2011-04-30,2022-04-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №421,1
100000055017,16,2021-01-28,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №3811,1
100000055014,35,2021-01-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-7,Бульдозер WD600-6 №3220,1
100000055016,75,2022-06-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Специальн машина К-703МА,Специальн машина К-703МА-12-04 №3815,1
100000078363,32,2022-01-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-10,Бульдозер WD600-6 №3224,1
100000078368,16,2022-09-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №3816,1
100000084429,18,2017-08-25,2030-01-01,Полюс Магадан,Бульдозеры колесные,Бульдозер колесный WD600-6,Бульдозер колесный WD600-6 №1,1
100000084440,49,1899-12-31,2030-01-01,Полюс Магадан,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3A,1
100000052088,38,2007-06-22,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Машина многоцел МКСМ,Машина многоцел МКСМ-800 №8323XB24,1
100000065025,44,2010-06-11,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный Dressta 534C,Погрузчик фронтальный Dressta 534C №4,1
100000058929,49,2012-10-01,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №52,1
100000058928,49,2012-10-05,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №51,1
100000058926,49,2011-02-07,2022-06-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №26,1
100000058921,57,2011-03-15,2022-12-31,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA900-3,Погрузчик фронтальный WA900-3 №28,1
100000058922,56,2017-12-31,2030-01-01,Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA800-3,Погрузчик фронтальный WA800-3 №30,1
