,level_1_description,eo_class_description,eo_model_name,year,month,eo_code,count
135,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,1,100000062379,1
136,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,2,100000062379,1
137,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,3,100000062379,1
138,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,4,100000062379,1
139,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,5,100000062379,1
140,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,6,100000062379,1
141,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,7,100000062379,1
142,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,8,100000062379,1
143,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,9,100000062379,1
144,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,10,100000062379,1
145,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,11,100000062379,1
146,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2021,12,100000062379,1
147,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,1,100000062379,1
148,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,2,100000062379,1
149,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,3,100000062379,1
150,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,4,100000062379,1
151,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,5,100000062379,1
152,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,6,100000062379,1
153,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,7,100000062379,1
154,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,8,100000062379,1
155,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,9,100000062379,1
156,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,10,100000062379,1
157,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,11,100000062379,1
158,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2022,12,100000062379,1
159,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2023,1,100000062379,1
160,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2017,11,100000065514,1
161,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2017,12,100000065514,1
162,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,1,100000065514,1
163,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,2,100000065514,1
164,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,3,100000065514,1
165,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,4,100000065514,1
166,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,5,100000065514,1
167,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,6,100000065514,1
168,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,7,100000065514,1
169,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,8,100000065514,1
170,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,9,100000065514,1
171,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,10,100000065514,1
172,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,11,100000065514,1
173,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2018,12,100000065514,1
174,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,1,100000065514,1
175,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,2,100000065514,1
176,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,3,100000065514,1
177,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,4,100000065514,1
178,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,5,100000065514,1
179,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,6,100000065514,1
180,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,7,100000065514,1
181,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,8,100000065514,1
182,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,9,100000065514,1
183,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,10,100000065514,1
184,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,11,100000065514,1
185,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2019,12,100000065514,1
186,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,1,100000065514,1
187,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,2,100000065514,1
188,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,3,100000065514,1
189,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,4,100000065514,1
190,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,5,100000065514,1
191,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,6,100000065514,1
192,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,7,100000065514,1
193,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,8,100000065514,1
194,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,9,100000065514,1
195,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,10,100000065514,1
196,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,11,100000065514,1
197,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2020,12,100000065514,1
198,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,1,100000065514,1
199,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,2,100000065514,1
200,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,3,100000065514,1
201,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,4,100000065514,1
202,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,5,100000065514,1
203,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,6,100000065514,1
204,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,2021,7,100000065514,1
